1;20250219-13:44:21;0.0,2.0439723697341123e-06,-0.01048892293879556;-25,-24.999960584762984,-25.024821978143066;25,24.99997173370318,24.99435415436847;1,1.0000251882796225,0.9784666684333572;-1,-1.000021471966223,-1.009933437249744;1,1.000014968417774,0.9779671959124621;-1,-1.0000038194775753,-1.0101831735101914;1,1.0000153400491139,0.975469833307987;0,-1.5051069268042095e-05,-0.009739714157453018;-3,-3.0000259520549837,-3.0103208834343254;3,3.000019820137875,2.978354642097044;
0,-2.22978803970994e-06,-0.01048892293879556;2;20250219-13:47:10;-25,-24.99997080462483,-25.026070659445306;25,24.99995761171226,24.995353099410263;1,1.000037080482501,0.9767185146102246;-1,-1.0000417258742504,-1.009683700989296;1,1.0000123669983942,0.9787164046938046;-1,-1.0000103230260244,-1.0104329097706388;1,1.0000197996251934,0.975469833307987;0,-1.300709689830798e-05,-0.01048892293879556;-3,-3.0000161038244757,-3.010071147173878;3,3.000008485382006,2.9833493673059936;
0,-1.0963124528573873e-05,-0.009989450417900532;3;20250219-13:49:59;-25,-24.999967459942766,-25.022824088059494;25,24.99996318618236,24.996102308191606;1,1.0000036336619054,0.9824624486005173;-1,-1.0000298336713718,-1.0101831735101914;1,1.0000106946573646,0.9784666684333572;-1,-1.0000034478462354,-1.0101831735101912;1,1.0000177556528236,0.973971415745302;0,0.9998488492088154,0.9732222069639594;-3,-3.0000131307737563,-3.0098214109134305;3,3.000027996027354,2.978604378357491;
0,-1.449362225811461e-05,-0.013485758064165717;4;20250219-13:52:50;-25,-24.999969503915143,-25.028068549528886;25,24.999970432993493,24.997850462014732;1,1.0000036336619054,0.9799650859960423;-1,-1.000017012390144,-1.0106826460310865;1,1.000014968417774,0.9787164046938046;-1,-1.0000025187678856,-1.009933437249744;1,1.000014596786434,0.9732222069639594;0,-9.10496782881559e-06,-0.010239186678348045;-3,-3.0000207492162247,-3.0093219383925356;3,3.000030411631064,2.977855169576149;
0,-1.3007096898307985e-06,-0.013485758064165717;5;20250219-13:55:36;-25,-24.999988828744822,-25.029067494570675;25,24.999977308173285,24.999099143316972;1,1.0000240733856027,0.9784666684333572;-1,-1.0000328067220918,-1.0106826460310863;1,1.000015340049114,0.9789661409542522;-1,-1.0000017755052055,-1.0106826460310863;1,1.0000164549431338,0.973971415745302;0,0.9995987413170281,0.9747206245266447;-3,-3.000026137870654,-3.0148161361223798;3,2.9999991945985074,2.9826001585246513;
0,-1.5236884938017927e-05,-0.009989450417900532;6;20250219-13:58:25;-25,-24.999990686901516,-25.026320395705753;25,24.99997582164792,24.996851516972946;1,0.9999854237262479,0.9802148222564898;-1,-1.000021100334883,-1.0099334372497437;1,1.0000134818924142,0.9777174596520145;-1,-1.0000023329522156,-1.0104329097706388;1,1.0000177556528236,0.9747206245266447;0,-1.4121990918162951e-05,-0.009989450417900532;-3,-3.0000079279349965,-3.0103208834343254;3,3.000015918008806,2.978604378357491;
0,-8.175889478936448e-06,-0.014234966845508257;7;20250219-14:01:13;-25,-25.00000034931636,-25.025571186924413;25,24.99996411526071,24.994104418108023;1,1.000020914519213,0.9797153497355947;-1,-1.000036151404151,-1.0101831735101914;1,1.0000158974961237,0.9767185146102246;-1,-1.0000051201872653,-1.0096837009892963;1,1.0000155258647838,0.9747206245266444;0,0.9996641484328594,0.9747206245266444;-3,-3.000027252764674,-3.0148161361223798;3,3.000008113750667,2.9848477848686787;
0,-1.3378728238259639e-05,-0.01048892293879556;8;20250219-14:04:00;-25,-24.999988642929154,-25.028068549528886;25,24.999963557813704,24.997101253233392;1,1.0000324350907517,0.9777174596520145;-1,-1.0000316918280716,-1.009933437249744;1,1.0000181272841635,0.9779671959124621;-1,-1.000005120187265,-1.009933437249744;1,1.0000168265744735,0.9774677233915671;0,-1.598014761792124e-05,-0.009989450417900532;-3,-3.000014803114786,-3.010071147173878;3,3.000001796017887,2.9826001585246513;
0,-9.290783498791419e-06,-0.007741824073872913;9;20250219-14:06:44;-25,-24.999989757823162,-25.026070659445306;25,24.99997154788751,24.99435415436847;1,1.0000197996251936,0.9782169321729096;-1,-1.0000281613303423,-1.0104329097706388;1,1.0000127386297344,0.9789661409542522;-1,-1.0000040052932453,-1.0106826460310863;1,1.0000132960767443,0.9762190420893296;0,-1.0963124528573874e-05,-0.010239186678348045;-3,-3.0000231648199343,-3.0098214109134305;3,3.0000032825432474,2.9840985760873364;
0,-9.8482305087189e-06,-0.010239186678348045;10;20250219-14:09:29;-25,-25.000000720947696,-25.026070659445306;25,24.99996987554648,24.99560283567071;1,1.0000251882796227,0.9789661409542522;-1,-1.000029276224362,-1.0096837009892963;1,1.000013481892414,0.9772179871311195;-1,-1.0000032620305652,-1.0104329097706388;1,1.000016083311794,0.9724729981826171;0,0.9998014662129715,0.9747206245266444;-3,-3.0000244655296253,-3.010071147173878;3,3.000023350635605,2.983099631045546;
0,-1.1892202878453013e-05,-0.010239186678348045;
