1;20250219-13:44:21;0.0,9.019670226158763e-05,0.02734375;-10,-10.000003427269863,-9.961079545454545;10,10.00000108196016,10.013778409090909;1,0.9999990137181543,1.0237926136363638;-1,-0.9999937367713289,-0.9738636363636364;1,1.0000009681429054,1.0145596590909092;-1,-1.0000060496472607,-0.9783380681818181;1,1.000004974713645,1.01328125;0,-3.4202433156418045e-06,0.02265625;-4,-4.000002504474301,-3.96953125;4,4.000006413323801,4.01015625;
0,-4.00657074096892e-06,0.0296875;2;20250219-13:47:10;-10,-10.000007140676892,-9.967542613636365;10,10.00000626118575,9.992613636363636;1,0.9999915869041003,1.0348011363636362;-1,-1.0000075154658241,-0.9644886363636364;1,1.0000009681429052,1.03203125;-1,-1.0000045838286975,-0.96171875;1,1.000001065864143,1.0313210227272727;0,-1.3680973269968999e-06,0.04019886363636364;-4,-4.000002993080489,-3.965625;4,3.999997520691184,4.0125;
0,2.8339158878474287e-06,0.0265625;3;20250219-13:49:59;-10,-10.000004990809666,-9.96953125;10,10.000002352336248,10.0140625;1,1.0000055610410705,1.0223721590909092;-1,-1.000012987855127,-0.9754971590909092;1,1.000001456749093,1.0178267045454545;-1,-1.0000006749791954,-0.9737215909090908;1,1.0000026294039437,1.0196732954545455;0,5.765553014483007e-06,0.028125;-4,-4.000000256885839,-3.978125;4,3.99999566398767,4.01328125;
0,-2.4430309400966123e-06,0.02734375;4;20250219-13:52:50;-10,-10.000003329548626,-9.96640625;10,10.00001749912807,9.993181818181819;1,0.9999967661296905,1.0236505681818182;-1,-1.000009958496763,-0.9759232954545455;1,1.0000006749791928,1.0198863636363638;-1,-1.0000032157313714,-0.9752130681818182;1,0.9999962775235026,1.0198153409090909;0,-3.4202433156418045e-06,0.028125;-4,-4.000004556620291,-3.97890625;4,3.9999942958903447,4.00859375;
0,-4.886061878959594e-06,0.02421875;5;20250219-13:55:36;-10,-10.00000919282288,-9.964133522727273;10,10.000012026738768,9.996946022727274;1,0.9999966684084528,1.0292613636363637;-1,-1.0000125969701767,-0.9712357954545455;1,1.0000006749791925,1.0232244318181818;-1,-1.0000155286073034,-0.9729403409090909;1,0.9999993068818668,1.0183948863636363;0,-7.4268140553770945e-06,0.02734375;-4,-3.999998693346037,-3.96640625;4,4.00000123409821,4.0125;
0,-8.208583955813246e-06,0.04140625;6;20250219-13:58:25;-10,-10.000008801937927,-9.957883522727274;10,10.000000984238921,10.008522727272727;1,1.0000064405322084,1.022940340909091;-1,-1.0000104471029507,-0.9737215909090908;1,1.0000000886517673,1.0207386363636364;-1,-1.00000526787736,-0.9734375;1,1.0000059519260207,1.02109375;0,-6.4496016798319014e-06,0.028267045454545454;-4,-4.000002015868114,-3.9734375;4,4.000000061443361,4.01484375;
0,-2.247588464987573e-06,0.02784090909090909;7;20250219-14:01:13;-10,-10.000006261185753,-9.9671875;10,10.000006847513177,9.993963068181818;1,0.9999949094261771,1.0233664772727273;-1,-1.0000040952225095,-0.9757102272727274;1,0.9999947139837018,1.02734375;-1,-1.0000192420143306,-0.9731534090909092;1,0.9999984273907288,1.0203125;0,-4.299734453632478e-06,0.02890625;-4,-4.00000182042564,-3.9703125;4,4.000001820425636,4.0105823863636365;
0,-4.495176928741516e-06,0.03068181818181818;8;20250219-14:04:00;-10,-10.000009388265356,-9.96953125;10,10.000000495632737,9.992897727272727;1,0.9999996977668172,1.0234375;-1,-0.9999962775235052,-0.9741477272727274;1,1.0000039975012693,1.0140625;-1,-1.000002727125184,-0.9765625;1,1.0000072223021088,1.0140625;0,-5.863274265607457e-07,0.02265625;-4,-4.000004361177815,-3.96953125;4,4.000002211310587,4.009303977272728;
0,2.1498672249657942e-06,0.0296875;9;20250219-14:06:44;-10,-10.000014958375893,-9.969460227272727;10,10.000005968022037,10.008451704545454;1,0.9999858213510844,1.023934659090909;-1,-1.0000033134526092,-0.9728693181818182;1,1.0000035088950816,1.0220170454545454;-1,-1.0000058542047854,-0.97265625;1,1.000004095222507,1.0212357954545455;0,-8.794911392243038e-07,0.03046875;-4,-4.000004458899053,-3.9703125;4,3.9999973252487093,4.0140625;
0,6.351880439810121e-06,0.029261363636363634;10;20250219-14:09:29;-10,-10.000003524991103,-9.96875;10,10.000002840942434,10.01484375;1,0.9999895347581115,1.0222301136363636;-1,-0.999997841063306,-0.9738636363636364;1,0.9999997954880546,1.02109375;-1,-1.0000069291383986,-0.9764204545454545;1,1.0000024339614686,1.0203125;0,1.4658185620841589e-06,0.0296875;-4,-4.00000338396544,-3.97421875;4,3.999995761708908,4.0124289772727275;
0,3.4202433131745445e-06,0.025;
