0.0,0.003124999999998973,0.011800000000000001;1;20250219-14:17:45;-0.7,-0.7031250000000009,-0.6931;0.7,0.703124999999999,0.713;
0.0,-0.003125000000001027,0.0134;2;20250219-14:20:34;-0.7,-0.7031250000000009,-0.6933;0.7,0.703124999999999,0.7098;
0.0,-0.003125000000001027,0.0111;3;20250219-14:23:24;-0.7,-0.7031250000000009,-0.6915;0.7,0.703124999999999,0.7147;
0.0,-0.003125000000001027,0.0111;4;20250219-14:26:13;-0.7,0.003124999999998973,0.0126;0.7,0.703124999999999,0.7116;
0.0,-0.003125000000001027,0.0108;5;20250219-14:29:00;-0.7,-0.7031250000000009,-0.6919;0.7,0.703124999999999,0.7082;
0.0,-0.003125000000001027,0.0126;6;20250219-14:31:46;-0.7,-0.7031250000000009,-0.6887;0.7,0.703124999999999,0.7141;
0.0,-0.003125000000001027,0.0122;7;20250219-14:34:37;-0.7,-0.7031250000000009,-0.6912;0.7,0.703124999999999,0.7103;
0.0,-0.003125000000001027,0.0106;8;20250219-14:37:26;-0.7,0.003124999999998973,0.0125;0.7,0.703124999999999,0.7134;
0.0,-0.003125000000001027,0.0117;9;20250219-14:40:08;-0.7,0.003124999999998973,0.0128;0.7,0.703124999999999,0.7117;
0.0,-0.003125000000001027,0.0122;
