1;20250219-14:16:05;0.0,0.0001026072994310116,0.02578125;-10,-10.00000469764595,-9.965625;10,9.999997759438083,9.993678977272726;1,0.9999933458863761,1.0252130681818181;-1,-1.0000015544703333,-0.97265625;1,1.0000055610410703,1.02109375;-1,-1.000004388386222,-0.971875;1,1.0000046815499324,1.02109375;0,2.736194650292909e-06,0.0296875;-4,-4.000002015868114,-3.975;4,3.9999911688107432,4.00859375;
0,-1.4755906871966038e-05,0.03671875;2;20250219-14:18:54;-10,-10.000004893088427,-9.9640625;10,10.000005088530902,10.006676136363636;1,0.9999784922582677,1.0220170454545454;-1,-0.9999970592934057,-0.9748579545454545;1,1.0000005772579552,1.0203125;-1,-0.9999993068818697,-0.9703125;1,1.0000050724348826,1.0203125;0,-2.052145989878534e-06,0.02869318181818182;-4,-3.999999670558413,-3.9760653409090905;4,4.000003188522962,4.01015625;
0,4.983783114046853e-06,0.0296875;3;20250219-14:21:42;-10,-10.000003427269863,-9.96953125;10,10.000006358906989,9.990198863636364;1,0.9999777104883675,1.0225142045454545;-1,-0.9999945185412293,-0.9750710227272726;1,1.000003704337557,1.0193181818181818;-1,-1.0000038020587971,-0.9727272727272727;1,1.0000051701561203,1.01953125;0,-2.833915890314689e-06,0.02734375;-4,-3.999997716133661,-3.9776988636363635;4,4.00000289535925,4.0112215909090905;
0,-3.9088495034144e-06,0.03046875;4;20250219-14:24:34;-10,-10.000003818154813,-9.971875;10,10.000010560920204,9.990482954545454;1,0.9999981342270162,1.0233664772727273;-1,-1.0000032157313716,-0.975;1,0.9999945185412266,1.0261363636363636;-1,-1.0000034111738467,-0.975;1,1.0000106425454232,1.0201704545454544;0,-5.081504354068631e-06,0.028125;-4,-4.000001234098213,-3.9765625;4,4.000000647770785,4.0078125;
0,8.990353853782142e-06,0.0296875;5;20250219-14:27:17;-10,-10.00000723839813,-9.956463068181819;10,10.000008606495452,10.004474431818181;1,0.9999941276562764,1.0254971590909092;-1,-1.0000001863730072,-0.9730113636363636;1,0.9999988182756792,1.02109375;-1,-1.0000030202888963,-0.97109375;1,1.000004974713645,1.02109375;0,-1.6612610396604577e-06,0.0296875;-4,-4.0000007454920254,-3.97890625;4,4.000006022438852,4.01328125;
0,-4.788340641405071e-06,0.030610795454545453;6;20250219-14:30:08;-10,-10.000004599924713,-9.96796875;10,9.999999518420358,9.99353693181818;1,0.9999959843597901,1.0248579545454546;-1,-1.0000007727004327,-0.97421875;1,1.000004095222507,1.0206676136363637;-1,-1.000004388386222,-0.9703125;1,1.0000062450897333,1.0198863636363638;0,2.0521459874112746e-06,0.03039772727272727;-4,-4.000007683699892,-3.97890625;4,3.999995468545195,4.015198863636363;
0,4.104291976056179e-06,0.03046875;7;20250219-14:32:56;-10,-10.000004697645952,-9.968394886363637;10,10.000001961451295,10.007315340909091;1,0.999978883143218,1.0246448863636364;-1,-1.0000021407977584,-0.9730823863636363;1,1.0000029225676565,1.0203125;-1,-1.0000032157313714,-0.9703125;1,0.9999982319482538,1.0204545454545455;0,-5.863274265607455e-07,0.02890625;-4,-4.000002797638014,-3.9796875;4,4.000002113589349,4.0125;
0,5.863274252037526e-06,0.031107954545454546;8;20250219-14:35:45;-10,-10.000005381694614,-9.971164772727274;10,10.000003427269862,9.99765625;1,0.9999970592934032,1.0237215909090909;-1,-1.0000023362402335,-0.975;1,1.0000034111738443,1.02265625;-1,-1.0000037043375591,-0.9716619318181818;1,1.000004974713645,1.02265625;0,-6.840486641152649e-07,0.03203125;-4,-4.000001527261927,-3.9727982954545453;4,3.999998693346035,4.01328125;
0,9.47896004155474e-06,0.04396306818181818;9;20250219-14:38:30;-10,-10.000006847513179,-9.956463068181819;10,10.00000782472555,10.00518465909091;1,1.0000040952225069,1.0232954545454545;-1,-1.0000006749791952,-0.9770596590909092;1,1.0000020430765182,1.0212357954545455;-1,-1.000008590399437,-0.9754971590909092;1,1.0000009681429054,1.01953125;0,-9.772123878814961e-08,0.028125;-4,-4.0000027976380155,-3.97734375;4,4.000001918146873,4.01015625;
0,2.0521459874112746e-06,0.02819602272727273;10;20250219-14:41:12;
