0.0,0.0005539165121979442,0.0;1;20260706-16:33:01;96,96.00055025572918,96.0001169335868;0,0.00043332214238363167,0.0;-85,-84.99956392624102,-84.99523888070667;0,-0.00432504553435738,0.0;
2;20260706-16:35:28;96,95.99567742559972,95.99462273585695;0,0.0010546897427828016,0.0;-85,-84.99894051466826,-84.99523888070667;0,-0.0037036779339582105,0.0;
3;20260706-16:37:55;96,95.9962947052554,95.99462273585695;0,0.0016760573431819717,0.0;-85,-84.99832527898496,-84.99523888070667;0,-0.0030843543059287746,0.0;
4;20260706-16:40:22;96,95.99691402888342,95.99462273585695;0,0.0022933369988416734,0.0;-85,-84.99770595535693,-84.99523888070667;0,-0.0024650306778993387,0.0;
5;20260706-16:42:49;96,95.99752926456671,95.99462273585695;0,0.0029044847373921726,0.0;-85,-84.9970948076184,-84.99523888070667;0,-0.0018559269117185734,0.0;
6;20260706-16:45:16;96,95.99813836833289,95.99462273585695;0,0.0035156324759426723,0.0;-85,-84.99648161590747,-84.99523888070667;0,-0.00124273520079834,0.0;
7;20260706-16:47:43;96,95.99875564798855,95.99462273585695;0,0.0041308681592326394,0.0;-85,-84.99586638022417,-84.99523888070667;0,-0.0006234115727689041,0.0;
8;20260706-16:50:10;96,95.9993729276442,95.99462273585695;0,0.004746103842522607,0.0;-85,-84.99525318851326,-84.99523888070667;0,-1.4307806588138782e-05,0.0;
9;20260706-16:52:37;96,95.99998407538276,95.99462273585695;0,0.005363383498182309,0.0;-85,-85.00386648807932,-85.00073307843651;0,-0.003127277725693191,0.0;
10;20260706-16:55:04;96,95.99686906149128,95.99462273585695;0,0.0022442816619680545,0.0;-85,-84.99775092274908,-84.99523888070667;0,-0.0025181739595124255,0.0;
11;20260706-16:57:31;96,95.99748020922983,95.99462273585695;0,0.0028533854281488197,0.0;-85,-84.99714386295527,-84.99523888070667;0,-0.0019111141657013944,0.0;
12;20260706-16:59:57;96,95.99808726902364,95.99462273585695;0,0.0034645331666993194,0.0;-85,-84.99653067124434,-84.99523888070667;0,-0.0012917905376719585,0.0;
13;20260706-17:02:24;96,95.99870659265167,95.99462273585695;0,0.004081812822359021,0.0;-85,-84.99591747953342,-84.99523888070667;0,-0.0006785988267517251,0.0;
14;20260706-17:04:51;96,95.99932182833497,95.99462273585695;0,0.004703180422758191,0.0;-85,-84.99529611193303,-84.99523888070667;0,-5.518725398282101e-05,0.0;
